filename	Name in catalogue	Original title	Transliterated title	Type	year	collector	place	performer	archive reference	original metadata	Number of voices	Performer gender or age	audio recording	additional remarks	filename_new
Vinnytsia_001_children_Oi khodyv Son kolo vikon (ДС-КД-01)_singl.xml	ДС-КД-01	Оі ходив Сон коло вікон 	Oi khodyv Son kolo vikon 	children	2008	Матіяш Д., Кушка Т.	с. Павлівка Калинівського р-ну Вінницької обл. 	-	"Розшифр. 
Єфремова Л. О., № 17 (190)."	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. Розшифр. 
Єфремова Л. О., № 17 (190)."	singl				Vinnytsia_001_Oi khodyv Son kolo vikon
Vinnytsia_002_children_Oi khodyt Son kolo vikon (ДС-КД-01)_singl.xml	ДС-КД-01	Оі ходит Сон коло вікон 	Oi khodyt Son kolo vikon 	children	2007	Кушка Т. Я., Матіяш Д. В.	"с. Устя Бершадського р-ну Вінницької обл.
"	-	Розшифр. Єфремова Л. О. № 65 (445).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл.
Розшифр. Єфремова Л. О. № 65 (445)."	singl				Vinnytsia_002_Oi khodyt Son kolo vikon
Vinnytsia_003_children_Oi khodyt Son kolo vikon (ДС-КД-01)_singl.xml	ДС-КД-01	Оі ходит Сон коло вікон 	Oi khodyt Son kolo vikon 	children	-	Матіяш Д., Кушка Т.	с. Стіна Томашпільського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О., № 13 (257).	"Зап. Матіяш Д., Кушка Т. у с. Стіна Томашпільського р-ну Вінницької обл. Розшифр. Єфремова 
Л. О., № 13 (257)."	singl				Vinnytsia_003_Oi khodyt Son kolo vikon
Vinnytsia_004_children_Oi khodyt Son kolo vikon (ДС-КД-01+КЗ-02)_singl.xml	ДС-КД-01+КЗ-02	Оі ходит Сон коло вікон 	Oi khodyt Son kolo vikon 	children	-	Гарбулінська Тетяна	с. Стіна Томашпільського р-ну Вінницької обл. 	Гідрович Марія Христофорівна	З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 1 (4).	"Зап. Гарбулінська Т. Є. у с. Стіна Томашпільського р-ну Вінницької обл. від Гідрович Марії Хри-
стофорівни. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 1 (4)."	singl	woman			Vinnytsia_004_Oi khodyt Son kolo vikon
Vinnytsia_005_children_A-a, a-a, liuli (ДС-КД-01+КЗ-02)_singl.xml	ДС-КД-01+КЗ-02	А-а, а-а, ліулі 	A-a, a-a, liuli 	children	2008	Матіяш Д., Кушка Т.	"с. Павлівка Калинівського р-ну Вінницької обл. 
"	-	Розшифр. Єфремова Л. О., № 17 (192).	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. 
Розшифр. Єфремова Л. О., № 17 (192)."	singl				Vinnytsia_005_A-a, a-a, liuli
Vinnytsia_006_children_Oi nu, liuli, liuli (ДС-КД-05)_singl.xml	ДС-КД-05	Оі ну, ліулі, ліулі 	Oi nu, liuli, liuli 	children	2008	Матіяш Д., Кушка Т.	"с. Павлівка Калинів-
ського р-ну Вінницької обл. "	-	"Розшифр. Єфремова Л. О., № 17 
(193)."	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинів-
ського р-ну Вінницької обл. Розшифр. Єфремова Л. О., № 17 
(193)."	singl				Vinnytsia_006_Oi nu, liuli, liuli
Vinnytsia_007_children_Kotyku sirenkii (ДС-КД-07)_singl.xml	ДС-КД-07	Котику сіренкіі 	Kotyku sirenkii 	children	2008	Матіяш Д., Кушка Т.	с. Павлівка Калинівського р-ну Вінницької обл. 	Гунько Валентина Михайлівна 	Розшифр. Єфремова Л. О., № 17 (191).	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. від Гунь-
ко Валентини Михайлівни. Розшифр. Єфремова Л. О., № 17 (191)."	singl	woman			Vinnytsia_007_Kotyku sirenkii
Vinnytsia_008_children_Kotyku sirenkyi (ДС-КД-07)_singl.xml	ДС-КД-07	Котику сіренкї 	Kotyku sirenkyi 	children	2007	Кушка Т. Я., Матіяш Д. В.	с. Устя Бершадського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О. № 67 (447).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Роз-
шифр. Єфремова Л. О. № 67 (447)."	singl				Vinnytsia_008_Kotyku sirenkyi
Vinnytsia_009_children_A-a, kotochok (ДС-КД-13а)_singl.xml	ДС-КД-13а	А-а, коточок 	A-a, kotochok 	children	2007	Кушка Т. Я., Матіяш Д. В.	с. Устя Бершадського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О. № 29 (409).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Роз-
шифр. Єфремова Л. О. № 29 (409)."	singl				Vinnytsia_009_A-a, kotochok
Vinnytsia_010_children_Kotu, kotu, kotku (ДС-КД-15)_singl.xml	ДС-КД-15	Коту, коту, котку 	Kotu, kotu, kotku 	children	2007	Кушка Т. Я., Матіяш Д. В.	"с. Гущинці Калинівського 
р-ну Вінницької обл. "	-	Розшифр. Єфремова Л. О. № 22 (635). 	"Зап. 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Гущинці Калинівського 
р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 22 (635). "	singl				Vinnytsia_010_Kotu, kotu, kotku
Vinnytsia_011_children_Upav kit iz vorit (ДС-КС)_singl.xml	ДС-КС	Упав кіт із воріт 	Upav kit iz vorit 	children	2007	Кушка Т. Я., Матіяш Д. В.	с. Устя Бершадського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О. № 64 (444).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Роз-
шифр. Єфремова Л. О. № 64 (444)."	singl				Vinnytsia_011_Upav kit iz vorit
Vinnytsia_012_children_Koty dva, koty dva (ДС-КС-16)_singl.xml	ДС-КС-16	Коти два, коти два 	Koty dva, koty dva 	children	2007	Кушка Т. Я., Матіяш Д. В.	с. Гущинці Калинівського р-ну Вінницької обл. 	-	Розшифр. Єфремова Л. О. № 21 (634). 	"Зап. 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Гущинці Калинівського р-ну Вінницької обл. Розшифр. 
Розшифр. Єфремова Л. О. № 21 (634). "	singl				Vinnytsia_012_Koty dva, koty dva
Vinnytsia_013_children_Liuli, liuli, liulechki (ДС-КС-16)_singl.xml	ДС-КС-16	Ліулі, ліулі, ліулечкі 	Liuli, liuli, liulechki 	children	1998	Бідюк Л. М.	"с. Сиваківці  Липове-
цького р-ну Вінницької обл. "	-	"Касета № 12. Розшифр. 
Єфремова Л. О., № 14 (325)"	"Зап. у жовтні 1998 р. Бідюк Л. М. у с. Сиваківці  Липове-
цького р-ну Вінницької обл. Касета № 12. Розшифр. 
Єфремова Л. О., № 14 (325)"	singl		Касета № 12		Vinnytsia_013_Liuli, liuli, liulechki
Vinnytsia_014_children_A-a, a-a, dytyna (ДС-КС-01)_singl.xml	ДС-КС-01	А-а, а-а, дитина 	A-a, a-a, dytyna 	children	1994	Коропніченко Г., Тищенко О.	"с. Сиваківці Липовецького р-ну Вінницької обл. 
"	Римар Катерина Федорівна, 1939 р. н. 	"Традиційна музична культура України. Колискові. № 
19. Розшифр. Єфремова Л. О."	"Зап. 1.05 1994 р. Коропніченко Г., Тищенко О. у с. Сиваківці Липовецького р-ну Вінницької обл. 
від Римар Катерини Федорівни, 1939 р. н. – Традиційна музична культура України. Колискові. № 
19. Розшифр. Єфремова Л. О."	singl	woman			Vinnytsia_014_A-a, a-a, dytyna
Vinnytsia_015_children_Oi nu, dytia, spaty (ДС-КС)_singl.xml	ДС-КС	Оі ну, дитіа, спати 	Oi nu, dytia, spaty 	children	2008	Матіяш Д., Кушка Т.	с. Павлівка Калинівського р-ну Вінницької обл. 	-	"Розшифр. 
Єфремова Л. О., № 17 (189)."	"Зап. 24.05 2008 р. Матіяш Д., Кушка Т. у с. Павлівка Калинівського р-ну Вінницької обл. Розшифр. 
Єфремова Л. О., № 17 (189)."	singl				Vinnytsia_015_Oi nu, dytia, spaty
Vinnytsia_016_children_Liuli, liuli (ДС-КЗ-08)_singl.xml	ДС-КЗ-08	Ліулі, ліулі 	Liuli, liuli 	children	2007	Кушка Т. Я., Матіяш Д. В.	"с. Устя Бершадського р-ну Вінницької обл.
"	-	Розшифр. Єфремова Л. О. № 66 (446).	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл.
Розшифр. Єфремова Л. О. № 66 (446)."	singl				Vinnytsia_016_Liuli, liuli
Vinnytsia_017_children_Ladky-ladusi (ДС-ЗІ-01)_singl.xml	ДС-ЗІ-01	Ладки-ладусі 	Ladky-ladusi 	children	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Слобода-Яришівська 
Могилів-Подільського р-ну Вінницької обл. "	Руденко М. А. 	"ІМФЕ, ф. 14-5, од. зб. 441 (І), арк. 
49, фонозапис ф. 14-10, од. зб. 1386. Нотація Єфремової Л. О. "	"Зап. 1976 р. експ. ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Слобода-Яришівська 
Могилів-Подільського р-ну Вінницької обл. від Руденко М. А. – ІМФЕ, ф. 14-5, од. зб. 441 (І), арк. 
49, фонозапис ф. 14-10, од. зб. 1386. Нотація Єфремової Л. О. "	singl		фонозапис ф. 14-10, од. зб. 1386		Vinnytsia_017_Ladky-ladusi
Vinnytsia_018_children_Idy, idy, doshchiku (ДД-ЗД-01)_singl.xml	ДД-ЗД-01	Іди, іди, дошчіку 	Idy, idy, doshchiku 	children	2015	Єфремова Людмила	с. Носківці Жмеринського р-ну Вінницької обл.	Надія ?		"Зап. 5 вересня 2015 р. Єфремова Л. О. у м. Києві на ринку від Надії, прізвище назвати відмови-
лась, з с. Носківці Жмеринського р-ну Вінницької обл.  "	singl	woman		Записано від жінки Надії у Києві на ринку	Vinnytsia_018_Idy, idy, doshchiku
Vinnytsia_019_children_Bila kvochka chubarochka (ДД)_singl.xml	ДД	Біла квочка чубарочка 	Bila kvochka chubarochka 	children	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Дмитренки Гайсин-
ського р-ну Вінницької обл. "	Колесниченко Г. І., 1906 р. н. 	"ІМФЕ, ф. 14-5, од. зб. 441 (І), арк. 
17, фонозапис ф. 14-10, од. зб. 1385. Нотація Єфремової Л. О. "	"Зап. 1976 р. експ. ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Дмитренки Гайсин-
ського р-ну Вінницької обл. від Колесниченко Г. І., 1906 р. н. – ІМФЕ, ф. 14-5, од. зб. 441 (І), арк. 
17, фонозапис ф. 14-10, од. зб. 1385. Нотація Єфремової Л. О. "	singl		фонозапис ф. 14-10, од. зб. 1386		Vinnytsia_019_Bila kvochka chubarochka
Vinnytsia_020_children_Koliad, koliad, koliadnytsia (ДД-КЩ-01)_singl.xml	ДД-КЩ-01	Коліад, коліад, коліадниціа 	Koliad, koliad, koliadnytsia 	children	1998	Бідюк Л. М.	"с. Сиваківці  Липовецького р-ну 
Вінницької обл. "	гурт	"Розшифр. Єфремова Л. О., № 4 
(270). "	"Зап. 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну 
Вінницької обл. від гурту. Розшифр. Єфремова Л. О., № 4 
(270). "	singl	group of singer			Vinnytsia_020_Koliad, koliad, koliadnytsia
Vinnytsia_021_children_Koliad, koliad, koliadnytsia (ДД-КЩ-01)_singl.xml	ДД-КЩ-01	Коліад, коліад, коліадниціа 	Koliad, koliad, koliadnytsia 	children	2007	Кушка Т. Я.	"с. Забужжя Немирівсько-
го р-ну Вінницької обл. "	"Бусько Валентина Лук’янівна, 
1926 р. н. . "	Розшифр. Єфремова Л. О. № 48 (585). 	"Зап. у лютому 2007 р. Кушка Т. Я. у с. Забужжя Немирівсько-
го р-ну Вінницької обл. від Бусько Валентини Лук’янівни, 
1926 р. н. . Розшифр. Єфремова Л. О. № 48 (585). Співали, 
як були дівчатка."	singl	woman		"Співали, 
як були дівчатка"	Vinnytsia_021_Koliad, koliad, koliadnytsia
Vinnytsia_022_children_Bihla telychka (ДД-ЩК-02)_singl.xml	ДД-ЩК-02	Бігла теличка 	Bihla telychka 	children	1928	Середович М.	"с. Медвідка Вінниць-
кого р-ну Вінницької обл. "	-	"ІМФЕ. ф. 6-4, од. зб. 
160, арк. 7, № 11."	"Зап. 1928 р. Середович М. у с. Медвідка Вінниць-
кого р-ну Вінницької обл. – ІМФЕ. ф. 6-4, од. зб. 
160, арк. 7, № 11."	singl				Vinnytsia_022_Bihla telychka
Vinnytsia_023_children_Shchedryk, bedryk (ДД-ЩК-08)_singl.xml	ДД-ЩК-08	Шчедрик, бедрик 	Shchedryk, bedryk 	children	1928	Середович М.	с. Медвідка Вінницького р-ну Вінницької обл. 	-	"ІМФЕ. ф. 6-4, од. 
зб. 160, арк. 7, № 11."	"Зап. 13.І 1928 р. Середович М. у с. Медвідка Вінницького р-ну Вінницької обл. – ІМФЕ. ф. 6-4, од. 
зб. 160, арк. 7, № 11."	singl				Vinnytsia_023_Shchedryk, bedryk
Vinnytsia_024_children_Shchadrik-vedrik (ДД-ЩК-08)_singl.xml	ДД-ЩК-08	Шчадрік-ведрік 	Shchadrik-vedrik 	children	2007	Тищенко О., Матіяш Д., Кушка Т., Єпіченко М.	"с. Бірків Літинського р-ну 
Вінницької обл. "	жіночий гурт 	Розшифр. Єфремова Л. О., № 9 (30).	"Зап. у січні 2007 р. Тищенко О., Матіяш Д., Кушка Т., Єпіченко М. у с. Бірків Літинського р-ну 
Вінницької обл. від жіночого гурту. Розшифр. Єфремова Л. О., № 9 (30)."	singl	group of women			Vinnytsia_024_Shchadrik-vedrik
Vinnytsia_025_children_A Sus Khrystos narodyvsia (ДД-ЩК)_heterof.xml	ДД-ЩК	А Сус Христос народивсіа 	A Sus Khrystos narodyvsia 	children	1998	Бідюк Л. М.	с. Сиваківці  Липовецького р-ну Вінницької обл. 	гурт	"Розшифр. 
Єфремова Л. О., № 5 (271). "	"Зап. 1998 р. Бідюк Л. М. у с. Сиваківці  Липовецького р-ну Вінницької обл. від гурту. Розшифр. 
Єфремова Л. О., № 5 (271). "	heterof	group of singer			Vinnytsia_025_A Sus Khrystos narodyvsia
Vinnytsia_026_children_Na dvori bila khmara vietsia (ДД-КЩ-10)_singl.xml	ДД-КЩ-10	На дворі біла хмара віеціа 	Na dvori bila khmara vietsia 	children	2011	Гарбулінська Тетяна	с. Думенки Хмільницького р-ну Вінницької обл. 	"
Ющинська Марія Павлівна, 1937 р. н., Сторожук Анна Романівна, 1933 р. н. "	"З фондів Вінницько-
го ОЦНТ. Розшифр. Єфремова Л. О., № 12 (56)."	"Зап. 24 листопада 2011 р. Гарбулінська Т. Є. у с. Думенки Хмільницького р-ну Вінницької обл. від 
Ющинської Марії Павлівни, 1937 р. н., Сторожук Анни Романівни, 1933 р. н. З фондів Вінницько-
го ОЦНТ. Розшифр. Єфремова Л. О., № 12 (56)."	singl	woman			Vinnytsia_026_Na dvori bila khmara vietsia
Kmeln_baby_001.Oi khodyt Son kolo vikon.xml		Оі ходит Сон коло вікон	Oi khodyt Son kolo vikon	children	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Ріпинці Кам’я-
нець-Подільського р-ну Хмельницької обл. "	Рек В. О., 1921 р. н. 	"ІМФЕ, ф. 14-5, од. зб. 441(І), 
арк. 206, фонозапис ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О."	"Зап. 1976 р. експедиція ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Ріпинці Кам’я-
нець-Подільського р-ну Хмельницької обл. від Рек В. О., 1921 р. н. – ІМФЕ, ф. 14-5, од. зб. 441(І), 
арк. 206, фонозапис ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О."		woman	фонозапис ф. 14-10, од. зб. 1396		Kmeln_001_Oi khodyt Son kolo vikon
Kmeln_baby_002. Oi khodyt Son kolo vikon.xml		Оі ходит Сон коло вікон	Oi khodyt Son kolo vikon	children	1928	Харків Володимир	с. Песець Новоушицького р-ну Хмельницької обл. 	"Томашівська А. Г. 
"	ІМФЕ, ф. 6-3, од. зб. 81, арк. 42, № 12 (текст), арк. 43, № 12 (мел.).	"Зап. 1928 р. Харків В. у с. Песець Новоушицького р-ну Хмельницької обл. від Томашівської А. Г. 
– ІМФЕ, ф. 6-3, од. зб. 81, арк. 42, № 12 (текст), арк. 43, № 12 (мел.)."		woman			Kmeln_002_Oi khodyt Son kolo vikon
Kmeln_baby_003. Baiu, bai, baiu, bai.xml		Баіу, баі, баіу, баі	Baiu, bai, baiu, bai	children	-	Дмитренко Микола	с. Яхнівці Волочиського р-ну Хмельницької обл. 	Дрозд Одарка Михайлівна 	Розшифр. Єфремова Л. О.	"Зап. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Дрозд Одарки Ми-
хайлівни. Розшифр. Єфремова Л. О."		woman			Kmeln_003_Baiu, bai, baiu, bai
Kmeln_baby_004. Liuli, liuli, liuliechky.xml		Ліулі, ліулі, ліуліечки	Liuli, liuli, liuliechky	children	1986	Дмитренко Микола	с. Яхнівці Волочиського р-ну Хмельницької обл. 	Сердечна Надія Михайлівна, 1933 р. н. 	Розшифр. Єфремова Л. О. 	"Зап. 26. 07. 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Сер-
дечної Надії Михайлівни, 1933 р. н. Розшифр. Єфремова Л. О. "		woman			Kmeln_004_Liuli, liuli, liuliechky
Kmeln_baby_005. Liuli, liuli, liulechky.xml		Ліулі, ліулі, ліулечки	Liuli, liuli, liulechky	children	1983	Іваннікова Людмила	с. Губча Старокнстянтинівського р-ну Хмельницької обл. 	Іваннікова Т. В., 1939 р. н. 	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 256, пл. 2. Нотація Єфремової Л. О. 	"Зап. 1983 р. Іваннікова Л. В. у с. Губча Старокнстянтинівського р-ну Хмельницької обл. від Іван-
нікової Т. В., 1939 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 256, пл. 2. Нотація Єфремової Л. О. "		woman			Kmeln_005_Liuli, liuli, liulechky
Kmeln_baby_006. Liuli, liuli, liuli.xml		Ліулі, ліулі, ліулі	Liuli, liuli, liuli	children	1986	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	Палій В. Д., 1912 р. н. 	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 26, пл. 2. Нотація Єфремової Л. О. 	"Зап. 1986 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від Палій 
В. Д., 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 26, пл. 2. Нотація Єфремової Л. О. "		woman			Kmeln_006_Liuli, liuli, liuli
