filename	Name in catalogue	Original title	Transliterated title	Type	year	collector	place	performer	archive reference	original metadata	Number of voices	Performer gender or age	audio recording	additional remarks	filename_new
Kmeln_baby_007. Kit, kit, kotochok.xml		Кіт, кіт, коточок	Kit, kit, kotochok	children	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. "	Манчур М. З., 1928, р. н. 	"ІМФЕ, ф. 14-5, од. зб. 441 
(ІІ), арк. 204, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О. "	"Зап. 1976 р. експ. ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. від Манчур М. З., 1928, р. н. – ІМФЕ, ф. 14-5, од. зб. 441 
(ІІ), арк. 204, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О. "			пл. ф. 14-10, од. зб. 1396		Kmeln_007_Kit, kit, kotochok
Kmeln_baby_008. A-a, kotkiv dva.xml		А-а, котків два	A-a, kotkiv dva	children	-	Струтинський О. Д.	с. Сенигів Шепетівського р-ну Хмельницької обл. 	Осінська Броніслава Мартинівна 	ІМФЕ, ф. 14-3, од. зб. 860, арк. 207 зв.-208. 	"Зап. Струтинський О. Д. у с. Сенигів Шепетівського р-ну Хмельницької обл. від Осінської Броні-
слави Мартинівни. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 207 зв.-208. "		women			Kmeln_008_A-a, kotkiv dva
Kmeln_baby_009. Pishla kytsia po vodytsiu.xml		Пішла киціа по водиціу	Pishla kytsia po vodytsiu	children	1927	Харків Володимир	с. Гаврилівці Кам’янець-Подільського р-ну Хмельницької обл. 	-	"ІМФЕ, 
ф. 6-3, од. зб. 77, арк. 47 (текст), арк. 50 (мел.)."	"Зап. 1927 р. Харків В. у с. Гаврилівці Кам’янець-Подільського р-ну Хмельницької обл. – ІМФЕ, 
ф. 6-3, од. зб. 77, арк. 47 (текст), арк. 50 (мел.)."					Kmeln_009_Pishla kytsia po vodytsiu
Kmeln_baby_010. Oi spy, dytia, kolyshu tia.xml		Оі спи, дитіа, колишу тіа	Oi spy, dytia, kolyshu tia	children	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. "	Рек В. О., 1921 р. н. 	"ІМФЕ, ф. 14-5, од. зб. 441(ІІ), арк. 
229, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О."	"Зап. 1976 р. експ. ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. від Рек В. О., 1921 р. н. – ІМФЕ, ф. 14-5, од. зб. 441(ІІ), арк. 
229, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О."			пл. ф. 14-10, од. зб. 1396		Kmeln_010_Oi spy, dytia, kolyshu tia
Kmeln_baby_011. Oi spy, dytia, kolyshu tia.xml		Оі спи, дитіа, колишу тіа	Oi spy, dytia, kolyshu tia	children	1978	Дем’ян Григорій	"с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
"	Мазур Ольга Федорівна, 1924 р. н. 	"ІМФЕ, ф. 14-3, од.зб. 973, арк. 57 (текст), арк. 232 (мел.), 
№ 40. Нотація Мишанича М. В."	"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 57 (текст), арк. 232 (мел.), 
№ 40. Нотація Мишанича М. В."		woman			Kmeln_011_Oi spy, dytia, kolyshu tia
Kmeln_baby_012. Oi spy, dytia, kolyshu tia.xml		Оі спи, дитіа, колишу тіа	Oi spy, dytia, kolyshu tia	children	-	Харків Володимир	с. Княгинин Кам’янець-Подільського р-ну Хмельницької обл. 	-	"ІМФЕ, ф. 6-3, 
од. зб. 77, арк. 130-131 № 78."	"Зап. Харків В. Й. у с. Княгинин Кам’янець-Подільського р-ну Хмельницької обл. – ІМФЕ, ф. 6-3, 
од. зб. 77, арк. 130-131 № 78."		woman			Kmeln_012_Oi spy, dytia, kolyshu tia
Kmeln_baby_013. Kolykhala baba dida.xml		Колихала баба діда	Kolykhala baba dida	children	1983	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	"матерь
Іваннікової Т. В., 1939 р. н. "	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 256, пл. 2. Нотація Єфремової Л. О. 	"Зап. 1983 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від матері 
Іваннікової Т. В., 1939 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 256, пл. 2. Нотація Єфремової Л. О. "		woman			Kmeln_013_Kolykhala baba dida
Kmeln_baby_014. Liuliu, liuliu, liuliu.xml		Ліуліу, ліуліу, ліуліу	Liuliu, liuliu, liuliu	children	1986	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	"Палій 
В. Д., 1912 р. н. "	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 30, пл. 2. Нотація Єфремової Л. О. 	"Зап. 1986 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від Палій 
В. Д., 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 30, пл. 2. Нотація Єфремової Л. О. "		woman			Kmeln_014_Liuliu, liuliu, liuliu
Kmeln_baby_015. Liuliu, liuli, liuliu.xml		Ліуліу, ліулі, ліуліу	Liuliu, liuli, liuliu	children	1986	Дмитренко Микола	с. Яхнівці Волочиського р-ну Хмельницької обл. 	Сердечна Надія Михайлівна, 1933 р. н. 	Розшифр. Єфремова Л. О. 	"Зап. 26. 07. 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Сердеч-
ної Надії Михайлівни, 1933 р. н. Розшифр. Єфремова Л. О. "		women			Kmeln_015_Liuliu, liuli, liuliu
Kmeln_baby_016. Liuliu, liuliu, staryi huliu.xml		Ліуліу, ліуліу, старї гуліу	Liuliu, liuliu, staryi huliu	children		Харків Володимир	"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) "	Борчук Степан Іванович, 40 р. 	"ІМФЕ, ф.6-3, од.зб. 
77, текст – арк. 42 (33), мел. – арк. 46 (36), № 68. Чорнетка."	"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від Борчука Степана Івановича, 40 р. – ІМФЕ, ф.6-3, од.зб. 
77, текст – арк. 42 (33), мел. – арк. 46 (36), № 68. Чорнетка."		man			Kmeln_016_Liuliu, liuliu, staryi huliu
Kmeln_baby_017. Liuliu, liuliu, liulochky.xml		Ліуліу, ліуліу, ліулочки	Liuliu, liuliu, liulochky	children		Харків Володимир	"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). "	-	"ІМФЕ, ф.6-3, од.зб. 77, мел. – арк. 33 (24), текст – арк. 34 
(25), № 61. "	"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, мел. – арк. 33 (24), текст – арк. 34 
(25), № 61. "					Kmeln_017_Liuliu, liuliu, liulochky
Kmeln_baby_018. Hoida, hoidasha.xml		Гоіда, гоідаша	Hoida, hoidasha	children	-	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл.	Іваннікова Людмила	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 31, плівка 2, Нотація Єфремової Л. О. 	"Зап. Іваннікова Л. В. з с. Губча Старокостянтинівського р-ну Хмельницької обл. по пам’яті. – 
ІМФЕ, ф. 14-3, од. зб. 1195, арк. 31, плівка 2, Нотація Єфремової Л. О. На гойдалці, як гойдались, 
то приспівували. (Прим. зап.)"		women	плівка 2	"На гойдалці, як гойдались, 
то приспівували. (Прим. Зап.)"	Kmeln_018_Hoida, hoidasha
Kmeln_baby_019. Tosi, tosi.xml		Тосі, тосі	Tosi, tosi	children	1986	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	Палій В. Д., 1912 р. н. 	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 28, плівка 2, Нотація Єфремової Л.	"Зап. 1986 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від Палій 
В. Д., 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 28, плівка 2, Нотація Єфремової Л. Дитину 
вчать плескати в долоньки. (Прим. зап.)"			плівка 2	" Дитину 
вчать плескати в долоньки. (Прим. Зап.)"	Kmeln_019_Tosi, tosi
Kmeln_baby_020. Tosi, tosi.xml		Тосі, тосі	Tosi, tosi	children	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. "	Посна Г. З., Рек В. О., Манчур М. З., 1928, р. н. 	"ІМФЕ, 
ф. 14-5, од. зб. 441 (ІІ), арк. 200, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О. "	"Зап. 1976 р. експ. ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. від Посної Г. З., Рек В. О., Манчур М. З., 1928, р. н. – ІМФЕ, 
ф. 14-5, од. зб. 441 (ІІ), арк. 200, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О. "		women	пл. ф. 14-10, од. зб. 1396		Kmeln_020_Tosi, tosi
Kmeln_baby_021. Kui, kui nozhku.xml		Куі, куі ножку	Kui, kui nozhku	children	1986	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	"Палій 
В. Д., 1912 р. н. "	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 32, плівка 2, Нотація Єфремової Л. 	"Зап. 1986 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від Палій 
В. Д., 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 32, плівка 2, Нотація Єфремової Л. Приказують, 
коли обрізують дитині нігтики на ногах. (Прим. зап.)"		woman		"Приказують, 
коли обрізують дитині нігтики на ногах"	Kmeln_021_Kui, kui nozhku
Kmeln_baby_022. Pechu, pechu khlibchyk.xml		Печу, печу хлібчик	Pechu, pechu khlibchyk	children	1986	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	"Палій 
В. Д., 1912 р. н. "	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 24, плівка 2, Нотація Єфремової Л. О.	"Зап. 1986 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від Палій 
В. Д., 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 24, плівка 2, Нотація Єфремової Л. О."		woman	плівка 2		Kmeln_022_Pechu, pechu khlibchyk
Kmeln_baby_023. Kysh-mysh, horobets.xml		Киш-миш, горобец	Kysh-mysh, horobets	children	1983	Іваннікова Людмила	с. Губча Старокостянтинівського р-ну Хмельницької обл. 	"матеріь 
Іваннікової Т. В. "	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 28, плівка 2, Нотація Єфремової Л. 	"Зап. 1983 р. Іваннікова Л. В. у с. Губча Старокостянтинівського р-ну Хмельницької обл. від матері, 
Іваннікової Т. В. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 28, плівка 2, Нотація Єфремової Л. "		woman	плівка 2		Kmeln_023_Kysh-mysh, horobets
Kmeln_baby_024. Kachechka letila.xml		Качечка летіла	Kachechka letila	children	1986	Іваннікова Людмила	с. Губча Старокнстянтинівського р-ну Хмельницької обл. 	"Палій 
Василина Давидівна, 1912 р. н. "	"ІМФЕ, ф. 14-3, од. зб. 1195, арк. 25, плівка 2. Нотація Єфремової 
Л. О. "	"Зап. 1986 р. Іваннікова Л. В. у с. Губча Старокнстянтинівського р-ну Хмельницької обл. від Палій 
Василини Давидівни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 25, пл. 2. Нотація Єфремової 
Л. О. "		woman	Плівка 2		Kmeln_024_Kachechka letila
Kmeln_baby_025. Kar, kar, vorona.xml		Кар, кар, ворона	Kar, kar, vorona	children	1976	Експедиція ІМФЕ (Омельченко Андрiй, Рубай Галина, Довженок Галина)	"с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. "	Манчур М. З., 1928, р. н. 	"ІМФЕ, ф. 14-5, од. зб. 441 (ІІ), 
арк. 201, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О. "	"Зап. 1976 р. експ. ІМФЕ (Омельченко А. Ф., Рубай Г. Т., Довженок Г. В.) у с. Ріпинці Кам’янець-
Подільського р-ну Хмельницької обл. від Манчур М. З., 1928, р. н. – ІМФЕ, ф. 14-5, од. зб. 441 (ІІ), 
арк. 201, пл. ф. 14-10, од. зб. 1396. Нотація Єфремової Л. О. Бавлять дитину, водячи пальцем по 
дитячій долоньці. (Прим. зап.)."			пл. ф. 14-10, од. зб. 1396	"Бавлять дитину, водячи пальцем по 
дитячій долоньці"	Kmeln_025_Kar, kar, vorona
Kmeln_baby_026. Siad sobi kolo mene.xml		Сіад собі коло мене	Siad sobi kolo mene	children	1986	Дмитренко Микола	с. Яхнівці Волочиського р-ну Хмельницької обл. 	"Дрозд Одарка 
Михайлівна "	Розшифр. Єфремова Л. О. 	"Зап. 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Дрозд Одарки 
Михайлівни. Розшифр. Єфремова Л. О. "		woman			Kmeln_026_Siad sobi kolo mene
Kmeln_baby_027. Yide, yide pan, pan.xml		Їде, їде пан, пан	Yide, yide pan, pan	children	1986	Дмитренко Микола	с. Яхнівці Волочиського р-ну Хмельницької обл. 	"Дрозд Одарка 
Михайлівна "	Розшифр. Єфремова Л. О.	"Зап. 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Дрозд Одарки 
Михайлівни. Розшифр. Єфремова Л. О."		woman			Kmeln_027_Yide, yide pan, pan
Kmeln_baby_028. Ta y prosyla baranchyka vivtsia.xml		Та и просила баранчика вівціа	Ta y prosyla baranchyka vivtsia	children		Харків Володимир	"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.)."	Савкун Захар Васильович 	"ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 38 (29), мел. – арк. 39 
(30), № 65. Чорнетка."	"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). Співав учитель Савкун Захар Васильович. Цю пісню чув, 
коли йому було років 8. (Прим. зап.) – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 38 (29), мел. – арк. 39 
(30), № 65. Чорнетка."		man		"Савкун Захар Васильович чув пісню  
коли йому було років 8.  "	Kmeln_028_Ta y prosyla baranchyka vivtsia
Kmeln_baby_029. Shcho ty, didu, robysh.xml		Шчо ти, діду, робиш	Shcho ty, didu, robysh	children		Харків Володимир	"с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) "	школяри	"ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 113-114 
(92-93), мел. – арк. 118 (96), № 25; мел. також: ф. 6, од. зб. 158, арк. 71. "	"Зап. 1927-1928 рр. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від школярів. – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 113-114 
(92-93), мел. – арк. 118 (96), № 25; мел. також: ф. 6, од. зб. 158, арк. 71. "		children			Kmeln_029_Shcho ty, didu, robysh
Kmeln_baby_030. Stoliaryky-molodtsi.xml		Століарики-молодці	Stoliaryky-molodtsi	children	1986	Дмитренко Микола	с. Яхнівці Волочиського р-ну Хмельницької обл. 	"Сердечна
Надія Максимівна, 1933 р. н. "	Розшифр. Єфремова Л. О.	"Зап. 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Сердечної 
Надії Максимівни, 1933 р. н. Розшифр. Єфремова Л. О."		woman			Kmeln_030_Stoliaryky-molodtsi
Kmeln_baby_031. Vyidy, vyidy, sonechko.xml		Вїди, вїди, сонечко	Vyidy, vyidy, sonechko	children	1983	Іваннікова Людмила	с. Губча Старокнстянтинівського р-ну Хмельницької обл. 	"
Іваннікова Тетяни Варсонівна, 1939 р. н. "	"ІМФЕ, ф. 14-3, од. зб. 1195, арк. 259, пл. 2 (2). Нота-
ція Єфремової Л. О. "	"Зап. 1983 р. Іваннікова Л. В. у с. Губча Старокнстянтинівського р-ну Хмельницької обл. від матері 
Іваннікової Тетяни Володимірвни, 1939 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 259, пл. 2 (2). Нота-
ція Єфремової Л. О. "		woman			Kmeln_031_Vyidy, vyidy, sonechko
Kmeln_baby_032. Idy, idy, doshchyku.xml		Іди, іди, дошчику	Idy, idy, doshchyku	children	1983	Іваннікова Людмила	с. Губча Старокнстянтинівського р-ну Хмельницької обл. 	Іваннікова Тетяни Варсонівна, 1939 р. н. 	арк. 260. Нотація Єфремової Л. О. 	Зап. 1983 р. Іваннікова Л. В. там само від матері, арк. 260. Нотація Єфремової Л. О. 		woman			Kmeln_032_Idy, idy, doshchyku
Kmeln_baby_033. Koliad, koliad, koliadnytsia.xml		Коліад, коліад, коліадниціа	Koliad, koliad, koliadnytsia	children	1983	Іваннікова Людмила	с. Губча Старокнстянтинівського р-ну Хмельницької обл. 	Іваннікова Тетяни Варсонівна, 1939 р. н. 	ІМФЕ, ф. 14-3, од. зб. 1195, арк. 3, пл. 2. Нотація Єфремової Л. О. 	"Зап. 1983 р. Іваннікова Л. В. у с. Губча Старокнстянтинівського р-ну Хмельницької обл. від Іван-
нікової Т. В., 1939 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 3, пл. 2. Нотація Єфремової Л. О. Ми 
малими так всі колядували. (Прим. зап.)"		woman		Mалими так всі колядували 	Kmeln_033_Koliad, koliad, koliadnytsia
Kmeln_baby_034. Koliad, koliad, koliadyn.xml		Коліад, коліад, коліадин	Koliad, koliad, koliadyn	children	1983	Іваннікова Людмила	с. Губча Старокнстянтинівського р-ну Хмельницької обл. 	Іваннікова Тетяни Варсонівна, 1939 р. н. 	арк. 2, пл. 2 (2). Нотація Єфремової Л. О. 	"Зап. 1983 р. Іваннікова Л. В. там само від матері, арк. 2, пл. 2 (2). Нотація Єфремової Л. О. Якийсь 
чоловік прийшов ввечері колядувати. Я дуже сміялася з нього і запам’ятала ще малою. (Прим. зап.)"		woman		"Якийсь 
чоловік прийшов ввечері колядувати. Я дуже сміялася з нього і запам’ятала ще малою. (Примітка записувача)"	Kmeln_034_Koliad, koliad, koliadyn
Kmeln_baby_035. Shchedryk-bedryk.xml		Шчедрик-бедрик	Shchedryk-bedryk	children	1983	Іваннікова Людмила	с. Губча Старокнстянтинівського р-ну Хмельницької обл. 	Іваннікова Тетяни Варсонівна, 1939 р. н. 	арк. 1, пл. 2. Нотація Єфремової Л. О. 	"Зап. 1983 р. Іваннікова Л. В. там само від матері, арк. 1, пл. 2. Нотація Єфремової Л. О. Малі діти 
в нас так щедрували і щедрують. (Прим. зап.) "		woman		"Малі діти 
в нас так щедрували і щедрують. (Примітка записувача)"	Kmeln_035_Shchedryk-bedryk
